fdcId,name,name_norm,label,gram_weight,kcal_per_portion,measure_unit,amount,modifier,category
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",chicken broilers or fryers drumstick meat only cooked braised,1.0 drumstick with skin,104.0,162.24,drumstick,1.0,with skin,Poultry Products
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",chicken broilers or fryers drumstick meat only cooked braised,1.0 drumstick without skin,94.7,147.73,drumstick,1.0,without skin,Poultry Products
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",chicken broiler or fryers breast skinless boneless meat only cooked braised,1.0 piece,174.0,288.84,piece,1.0,,Poultry Products
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",sauce pasta spaghetti/marinara ready-to-serve,1.0 serving 1/2 cup,135.0,60.75,serving,1.0,1/2 cup,"Soups, Sauces, and Gravies"
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",ham sliced pre-packaged deli meat 96%fat free water added,1.0 slice,13.5,14.31,slice,1.0,,Sausages and Luncheon Meats
332791,"Olives, green, Manzanilla, stuffed with pimiento",olives green manzanilla stuffed with pimiento,1.0 olive,3.2,4.16,olive,1.0,,Fruits and Fruit Juices
333008,"Cookies, oatmeal, soft, with raisins",cookies oatmeal soft with raisins,1.0 cookie,27.0,116.1,cookie,1.0,,Baked Products
333281,"Tomatoes, canned, red, ripe, diced",tomatoes canned red ripe diced,1.0 cup,245.0,44.1,cup,1.0,,Vegetables and Vegetable Products
333374,"Fish, haddock, raw",fish haddock raw,1.0 fillet,176.0,130.24,fillet,1.0,,Finfish and Shellfish Products
333476,"Fish, pollock, raw",fish pollock raw,1.0 fillet,177.0,99.12,fillet,1.0,,Finfish and Shellfish Products
334536,"Restaurant, Chinese, fried rice, without meat",restaurant chinese fried rice without meat,1.0 cup,133.0,231.42,cup,1.0,,Restaurant Foods
334628,"Restaurant, Latino, tamale, pork",restaurant latino tamale pork,1.0 piece,142.0,247.08,piece,1.0,,Restaurant Foods
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",restaurant latino pupusas con frijoles pupusas bean,1.0 piece,126.0,288.54,piece,1.0,,Restaurant Foods
335240,"Bread, whole-wheat, commercially prepared",bread whole-wheat commercially prepared,1.0 slice,32.1,81.53,slice,1.0,,Baked Products
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted","beef loin tenderloin roast separable lean only boneless trimmed to 0"" fat select cooked roasted",1.0 roast cooked,462.0,813.12,roast,1.0,cooked,Beef Products
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw","beef loin top loin steak boneless lip-on separable lean only trimmed to 1/8"" fat choice raw",1.0 steak raw,284.0,440.2,steak,1.0,raw,Beef Products
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw","beef round eye of round roast boneless separable lean only trimmed to 0"" fat select raw",1.0 roast raw,690.0,841.8,roast,1.0,raw,Beef Products
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw","beef round top round roast boneless separable lean only trimmed to 0"" fat select raw",1.0 roast raw,788.0,969.24,roast,1.0,raw,Beef Products
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw","beef short loin porterhouse steak separable lean only trimmed to 1/8"" fat select raw",1.0 steak raw,525.0,761.25,steak,1.0,raw,Beef Products
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled","beef short loin t-bone steak bone-in separable lean only trimmed to 1/8"" fat choice cooked grilled",1.0 steak cooked,360.0,788.4,steak,1.0,cooked,Beef Products
746765,"Cheese, dry white, queso seco",cheese dry white queso seco,1.0 cup grated,97.3,317.2,cup,1.0,grated,Dairy and Egg Products
746766,"Cheese, ricotta, whole milk",cheese ricotta whole milk,0.2 cup,64.6,101.42,cup,0.2,,Dairy and Egg Products
746766,"Cheese, ricotta, whole milk",cheese ricotta whole milk,1.0 cup,258.0,405.06,cup,1.0,,Dairy and Egg Products
746766,"Cheese, ricotta, whole milk",cheese ricotta whole milk,0.5 cup,129.0,202.53,cup,0.5,,Dairy and Egg Products
746767,"Cheese, swiss",cheese swiss,1.0 slice regular,21.9,86.07,slice,1.0,regular,Dairy and Egg Products
746767,"Cheese, swiss",cheese swiss,1.0 slice thin,10.9,42.84,slice,1.0,thin,Dairy and Egg Products
746768,"Figs, dried, uncooked",figs dried uncooked,1.0 each,8.4,20.92,each,1.0,,Fruits and Fruit Juices
746768,"Figs, dried, uncooked",figs dried uncooked,1.0 cup,149.0,371.01,cup,1.0,,Fruits and Fruit Juices
746769,"Lettuce, cos or romaine, raw",lettuce cos or romaine raw,1.0 bunch,581.0,98.77,bunch,1.0,,Vegetables and Vegetable Products
746770,"Melons, cantaloupe, raw",melons cantaloupe raw,1.0 wedge medium (1/8 of medium melon),69.0,23.46,wedge,1.0,medium (1/8 of medium melon),Fruits and Fruit Juices
746770,"Melons, cantaloupe, raw",melons cantaloupe raw,1.0 wedge large (1/8 of large melon),102.0,34.68,wedge,1.0,large (1/8 of large melon),Fruits and Fruit Juices
746770,"Melons, cantaloupe, raw",melons cantaloupe raw,"1.0 each small (about 4-1/4"" dia)",441.0,149.94,each,1.0,"small (about 4-1/4"" dia)",Fruits and Fruit Juices
746770,"Melons, cantaloupe, raw",melons cantaloupe raw,"1.0 each large (about 6-1/2"" dia)",814.0,276.76,each,1.0,"large (about 6-1/2"" dia)",Fruits and Fruit Juices
746770,"Melons, cantaloupe, raw",melons cantaloupe raw,1.0 cup cubes,160.0,54.4,cup,1.0,cubes,Fruits and Fruit Juices
746770,"Melons, cantaloupe, raw",melons cantaloupe raw,10.0 pieces balls,138.0,46.92,pieces,10.0,balls,Fruits and Fruit Juices
746770,"Melons, cantaloupe, raw",melons cantaloupe raw,1.0 cup diced,156.0,53.04,cup,1.0,diced,Fruits and Fruit Juices
